Symbol,Type,Strike,Expiry,ImpliedVol,Price,Bid,Ask,Volume,OpenInterest
SPY,call,390,2023-02-17,0.18,12.45,12.30,12.60,1234,5678
SPY,call,395,2023-02-17,0.17,8.92,8.80,9.04,2345,6789
SPY,call,400,2023-02-17,0.16,5.87,5.75,5.99,3456,7890
SPY,call,405,2023-02-17,0.15,3.45,3.35,3.55,4567,8901
SPY,call,410,2023-02-17,0.14,1.78,1.70,1.86,5678,9012
SPY,call,415,2023-02-17,0.13,0.82,0.76,0.88,6789,1012
SPY,put,390,2023-02-17,0.18,1.23,1.15,1.31,7890,1123
SPY,put,395,2023-02-17,0.17,2.45,2.35,2.55,8901,1234
SPY,put,400,2023-02-17,0.16,4.12,4.02,4.22,9012,1345
SPY,put,405,2023-02-17,0.15,6.78,6.65,6.91,1012,1456
SPY,put,410,2023-02-17,0.14,10.23,10.10,10.36,1123,1567
SPY,put,415,2023-02-17,0.13,14.56,14.40,14.72,1234,1678
