Date,Open,High,Low,Close,Volume
2023-01-03,385.43,387.16,381.04,383.60,83298900
2023-01-04,384.58,387.81,383.20,386.43,71953800
2023-01-05,385.58,387.75,383.20,384.96,73610200
2023-01-06,387.19,390.41,384.37,389.50,88078700
2023-01-09,390.41,392.43,388.65,390.00,67936900
2023-01-10,389.56,392.12,388.73,391.92,59479800
2023-01-11,392.21,395.35,391.68,395.45,63737400
2023-01-12,394.51,397.65,393.57,397.01,66256500
2023-01-13,394.99,397.65,393.30,396.43,66145800
2023-01-17,396.43,398.27,394.64,397.31,62578900
2023-01-18,397.31,398.57,393.26,394.12,69234500
2023-01-19,393.26,394.85,389.26,390.08,71456200
2023-01-20,390.08,393.86,388.65,393.43,78234100
2023-01-23,393.43,396.48,392.12,395.71,65432800
2023-01-24,395.71,397.85,394.26,396.91,58765400
2023-01-25,396.91,397.43,392.12,393.26,72345600
2023-01-26,393.26,396.85,392.43,396.43,61234500
2023-01-27,396.43,398.57,395.12,397.85,54321800
2023-01-30,397.85,399.43,396.26,398.12,58765400
2023-01-31,398.12,400.85,397.43,400.58,62345600
2023-02-01,400.58,403.26,399.85,402.43,67890100
2023-02-02,402.43,405.12,401.85,404.26,71234500
2023-02-03,404.26,406.85,403.43,405.58,68765400
2023-02-06,405.58,407.26,404.85,406.43,59876500
2023-02-07,406.43,408.12,405.26,407.85,63456700
2023-02-08,407.85,409.43,406.58,408.12,57654300
2023-02-09,408.12,410.26,407.43,409.58,61234500
2023-02-10,409.58,411.85,408.26,410.43,58765400
2023-02-13,410.43,412.12,409.85,411.26,55432100
2023-02-14,411.26,413.43,410.58,412.85,59876500
